,OSEBX,Last,High,Low,Official turnover (NOK)
0,2020-01-10,939.38,941.58,935.85,3185406897
1,2020-01-09,938.29,941.25,935.32,3822198355
2,2020-01-08,938.49,939.95,935.42,3756579768
3,2020-01-07,937.4,946.64,937.01,3643957390
4,2020-01-06,940.06,945.3,934.56,3921073373
5,2020-01-03,942.68,944.56,937.75,3574987988
6,2020-01-02,941.27,943.98,931.31,3406824119
7,2019-12-30,931.45,935.62,931.39,2542575706
8,2019-12-27,933.89,940.64,932.16,2539704875
9,2019-12-23,935.2,935.2,928.25,2532839055
10,2019-12-20,928.21,930.03,922.57,5266967085
11,2019-12-19,922.56,922.56,914.66,4271070830
12,2019-12-18,916.51,916.82,910.44,3950508207
13,2019-12-17,914.03,917.51,913.62,4061831618
14,2019-12-16,916.15,916.78,911.36,3535823117
15,2019-12-13,911.39,913.67,905.2,4164043807
16,2019-12-12,905.15,907.12,899.73,3703317357
17,2019-12-11,900.22,904.22,897.77,3515695752
18,2019-12-10,904.12,907.96,899.16,3555902979
19,2019-12-09,908.0,908.47,901.56,3128328822
20,2019-12-06,906.47,906.76,896.78,3532108782
21,2019-12-05,897.65,901.96,896.88,3770598631
22,2019-12-04,898.64,898.64,884.11,4091972091
23,2019-12-03,884.21,894.38,882.47,4734125245
24,2019-12-02,890.81,906.01,890.79,4509118810
25,2019-11-29,902.45,908.35,900.6,4958866434
26,2019-11-28,908.36,912.26,908.11,2294731330
27,2019-11-27,912.28,913.13,908.7,3350617471
28,2019-11-26,910.97,916.31,909.78,6773147147
29,2019-11-25,914.52,915.56,909.78,2985583387
30,2019-11-22,909.8,909.93,900.14,3484646441
31,2019-11-21,900.08,900.85,895.86,3484427840
32,2019-11-20,900.83,903.5,893.63,3977081631
33,2019-11-19,903.49,907.55,901.93,3887248760
34,2019-11-18,902.64,907.97,899.51,3667786174
35,2019-11-15,903.58,908.49,898.85,5179348127
36,2019-11-14,907.82,911.78,906.79,3882938977
37,2019-11-13,909.03,915.86,904.9,3770067670
38,2019-11-12,915.5,920.05,912.52,3142129436
39,2019-11-11,917.82,917.82,910.59,3111604627
40,2019-11-08,916.02,918.41,912.45,3672832754
41,2019-11-07,918.13,918.13,908.36,4220328842
42,2019-11-06,910.41,910.41,904.56,4287397970
43,2019-11-05,908.3,911.25,906.19,4270006564
44,2019-11-04,908.11,909.11,902.86,3650963319
45,2019-11-01,903.64,904.47,896.7,3047982958
46,2019-10-31,898.05,906.87,896.54,4894408289
47,2019-10-30,906.5,912.85,905.11,3995887088
48,2019-10-29,907.67,911.55,901.69,3970946015
49,2019-10-28,911.43,912.84,902.49,3590400196
50,2019-10-25,902.56,907.19,899.05,3850921914
51,2019-10-24,906.56,907.49,891.67,5231568041
52,2019-10-23,891.89,901.28,888.28,4991953769
